ID,SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,CITY,STATE,ZIP,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS.ON.MARKET,X..SQUARE.FEET,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
27245,MLS Listing,NA,Townhouse,Atlanta,GA,30312,4,4.5,The Residences At Studioplex,3100,NA,2018,6,387,NA,Active,,,GAMLS,N,Y,33.8,-84.4
27246,MLS Listing,NA,Multi-Family (2-4 Unit),Little Neck,NY,11363,6,5,Little Neck,NA,2990,2017,106,NA,NA,Active,,,MLSLI,N,Y,40.8,-73.7
27247,MLS Listing,NA,Condo/Co-op,Raleigh,NC,27606,2,3,North Shore,1478,NA,2017,253,250,340,Active,,,TMLS,N,Y,35.8,-78.7
27248,MLS Listing,NA,Single Family Residential,Chapel Hill,NC,27514,5,6,Little Hill,4500,14374,1986,52,189,NA,Active,,,TMLS,N,Y,35.9,-79
27249,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,2,Baltus House,951,NA,2015,124,556,750,Active,,,MARMLS,N,Y,25.8,-80.2
27250,New Construction Home,NA,Townhouse,Cary,NC,27519,2,3,Blakeley - Signature Collection,2134,NA,2017,76,205,NA,Active,,,NewHomeSource.com,N,Y,35.8,-78.9
27251,MLS Listing,NA,Single Family Residential,Miami,FL,33155,2,1,Coral Villas,1230,7500,1955,55,324,NA,Active,,,MARMLS,N,Y,25.7,-80.3
27252,MLS Listing,NA,Condo/Co-op,Miami,FL,33172,2,2.5,Las Sevillas,1205,NA,2011,20,237,34,Active,,,MARMLS,N,Y,25.8,-80.4
27253,MLS Listing,NA,Single Family Residential,Anaheim,CA,92806,4,2.75,78 - Anaheim East of Harbor,2124,6030,1974,4,424,NA,Active,,,CRMLS,N,Y,33.8,-117.9
27254,MLS Listing,NA,Townhouse,Miami,FL,33143,2,2.5,Kendall Glenn,1430,NA,1981,120,237,337,Active,,,MARMLS,N,Y,25.7,-80.3
27255,MLS Listing,NA,Single Family Residential,Miami,FL,33133,3,3.5,South Bay Estates,2550,NA,2017,70,273,NA,Active,,,MARMLS,N,Y,25.7,-80.2
27256,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,2,Edgewater Lofts,1123,NA,2008,141,249,662,Active,,,MARMLS,N,Y,25.8,-80.2
27257,MLS Listing,NA,Vacant Land,Chapel Hill,NC,27516,NA,NA,Orange,NA,1128204,NA,51,NA,NA,Active,,,TMLS,N,Y,35.9,-79.2
27258,MLS Listing,NA,Townhouse,Whitestone,NY,11357,2,1,Whitestone,NA,960,1945,7,NA,NA,Active,March-11-2018 03:00 PM,March-11-2018 05:00 PM,MLSLI,N,Y,40.8,-73.8
27259,MLS Listing,NA,Single Family Residential,Atlanta,GA,30314,3,1,Abe Lewis Lustgarten,NA,NA,1920,15,NA,NA,Active,,,GAMLS,N,Y,33.8,-84.5
27260,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,1,1.5,Epic Condo,799,NA,2008,194,482,NA,Active,,,MARMLS,N,Y,25.8,-80.2
27261,MLS Listing,NA,Single Family Residential,Santa Ana,CA,92704,4,2,69 - Santa Ana South of First,1347,6720,1959,13,427,NA,Active,March-11-2018 01:00 PM,March-11-2018 05:00 PM,CRMLS,N,Y,33.7,-117.9
27262,MLS Listing,NA,Single Family Residential,Floral Park,NY,11001,3,1.5,Floral Park,1358,3000,1927,111,313,NA,Active,,,MLSLI,N,Y,40.7,-73.7
27263,MLS Listing,NA,Single Family Residential,Miami,FL,33142,3,2,17th Ave Manor,688,4796,1939,121,221,NA,Active,,,MARMLS,N,Y,25.8,-80.2
27264,MLS Listing,NA,Single Family Residential,Cary,NC,27519,5,5,Cameron Pond,4446,5227,2007,13,130,50,Active,March-11-2018 01:00 PM,March-11-2018 03:00 PM,TMLS,N,Y,35.8,-78.9
27265,MLS Listing,NA,Single Family Residential,Laguna Beach,CA,92651,4,3,LV - Laguna Village,2322,7100,1965,28,945,NA,Active,,,CRMLS,N,Y,33.6,-117.8
27266,MLS Listing,NA,Single Family Residential,Orlando,FL,32822,3,2.5,Orlando,2052,4199,2005,47,117,26,Active,,,MFRMLS,N,Y,28.5,-81.3
27267,MLS Listing,NA,Condo/Co-op,Miami,FL,33130,2,2,Millecento Condo,1245,NA,2015,1087,530,592,Active,,,MARMLS,N,Y,25.8,-80.2
27268,MLS Listing,NA,Condo/Co-op,Laguna Woods,CA,92637,3,2,LW - Laguna Woods,1334,1307,1977,85,346,630,Active,,,CRMLS,N,Y,33.6,-117.7
27269,MLS Listing,NA,Single Family Residential,Staten Island,NY,10312,3,3,Arden Heights,1614,2940,1980,8,353,17,Active,,,SIBORMLS,N,Y,40.6,-74.2
27270,MLS Listing,NA,Single Family Residential,Atlanta,GA,30331,4,2.5,,NA,152460,2000,8,NA,NA,Active,,,GAMLS,N,Y,33.7,-84.6
27271,New Construction Plan,NA,Single Family Residential,Raleigh,NC,27615,2,2.5,The Manors at Old Lead Mine,2536,NA,NA,NA,200,NA,Active,,,NewHomeSource.com,N,Y,35.9,-78.7
27272,MLS Listing,NA,Single Family Residential,Orange,CA,92869,3,2.5,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",2020,7500,1974,8,384,NA,Active,,,CRMLS,N,Y,33.8,-117.8
27273,MLS Listing,NA,Single Family Residential,Baltimore,MD,21214,5,2,.,1064,7496,1922,20,206,NA,Active,,,MRIS,N,Y,39.3,-76.6
27274,MLS Listing,NA,Single Family Residential,Ladera Ranch,CA,92694,5,4.5,LD - Ladera Ranch,4623,7368,2004,8,379,400,Active,,,CRMLS,N,Y,33.5,-117.6
27275,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,1,1.5,Metropolitan Miami,624,NA,2008,202,433,550,Active,,,MARMLS,N,Y,25.8,-80.2
27276,MLS Listing,NA,Condo/Co-op,Miami,FL,33156,3,3,Toscano,1895,NA,2007,222,354,943,Active,,,MARMLS,N,Y,25.7,-80.3
27277,MLS Listing,NA,Single Family Residential,S. Ozone Park,NY,11420,3,1.5,S. Ozone Park,NA,2367,1930,115,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
27278,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,3,Biscayne Beach,1263,NA,2017,250,630,898,Active,,,MARMLS,N,Y,25.8,-80.2
27279,MLS Listing,NA,Vacant Land,Jacksonville,FL,32224,NA,NA,,NA,NA,NA,1177,NA,1450,Active,,,NEFLMLS,N,Y,30.3,-81.5
27280,MLS Listing,NA,Multi-Family (2-4 Unit),E. Elmhurst,NY,11370,4,2,Astoria Hgts/Upp,NA,2100,1960,35,NA,NA,Active,,,MLSLI,N,Y,40.8,-73.9
27281,MLS Listing,NA,Condo/Co-op,Brooklyn,NY,11230,1,NA,Brooklyn,800,NA,NA,57,411,NA,Active,,,BNYMLS,N,Y,40.6,-74
27282,MLS Listing,NA,Single Family Residential,Perrine,FL,33157,4,2.5,West Perrine,2191,NA,2018,40,155,NA,Active,,,MARMLS,N,Y,25.6,-80.4
27283,MLS Listing,NA,Single Family Residential,Orlando,FL,32811,2,1,Orlando,704,6257,1954,104,152,NA,Active,,,MFRMLS,N,Y,28.5,-81.4
27284,MLS Listing,NA,Single Family Residential,Orlando,FL,32827,3,3,Orlando,2576,9608,2016,362,485,498,Active,,,MFRMLS,N,Y,28.4,-81.3
27285,MLS Listing,NA,Multi-Family (2-4 Unit),Glendale,NY,11385,6,2,Glendale,NA,1553,1915,58,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.9
27286,MLS Listing,NA,Single Family Residential,Brooklyn,NY,11204,5,3,Brooklyn,2500,3000,1920,67,475,NA,Active,,,BNYMLS,N,Y,40.6,-74
27287,MLS Listing,NA,Vacant Land,Miami,FL,33133,NA,NA,Mac Farlane Homestead,NA,3900,NA,440,NA,NA,Active,,,MARMLS,N,Y,25.7,-80.3
27288,MLS Listing,NA,Single Family Residential,Baltimore,MD,21216,5,2,Hanlon Park,1760,6534,1920,114,34,NA,Active,,,MRIS,N,Y,39.3,-76.7
27289,MLS Listing,NA,Single Family Residential,Miami,FL,33179,4,2.5,Aventura Isles,2361,4699,2014,101,212,350,Active,,,MARMLS,N,Y,26,-80.2
27290,MLS Listing,NA,Townhouse,Cambria Heights,NY,11411,3,1.5,Cambria Heights,NA,2000,1930,64,NA,NA,Active,March-10-2018 12:00 PM,March-10-2018 03:00 PM,MLSLI,N,Y,40.7,-73.7
27291,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,2,The Crimson,1226,NA,2016,86,595,830,Active,,,MARMLS,N,Y,25.8,-80.2
27292,MLS Listing,NA,Townhouse,Cary,NC,27513,3,3,Wake,1873,1873,2017,111,176,145,Active,,,TMLS,N,Y,35.8,-78.8
27293,MLS Listing,NA,Single Family Residential,Atlanta,GA,30350-4101,5,4.5,Bakers Glen,3800,20037,1984,124,158,13,Active,,,GAMLS,N,Y,34,-84.3
27294,MLS Listing,NA,Multi-Family (2-4 Unit),Jamaica,NY,11433,6,2,Jamaica,NA,2250,1920,36,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
27295,MLS Listing,NA,Single Family Residential,Orlando,FL,32821,2,2,Orlando,2044,9387,1982,39,113,75,Active,,,MFRMLS,N,Y,28.4,-81.4
27296,MLS Listing,NA,Townhouse,Miami,FL,33137,2,2,Paramount Bay,1637,NA,2010,544,425,1300,Active,,,MARMLS,N,Y,25.8,-80.2
27297,MLS Listing,NA,Mobile/Manufactured Home,Buena Park,CA,90621,3,2,82 - Buena Park,1120,NA,2002,113,76,NA,Active,,,CRMLS,N,Y,33.9,-118
27298,MLS Listing,NA,Single Family Residential,Staten Island,NY,10301,3,3,St. George,1540,6850,1905,28,506,NA,Active,,,SIBORMLS,N,Y,40.6,-74.1
27299,MLS Listing,NA,Multi-Family (2-4 Unit),Brooklyn,NY,11229,6,4,Brooklyn,NA,3000,1925,20,NA,NA,Active,,,MLSLI,N,Y,40.6,-74
27300,MLS Listing,NA,Condo/Co-op,Baltimore,MD,21218,2,1,Tuscany-canterbury,965,NA,1920,33,144,483,Active,,,MRIS,N,Y,39.3,-76.6
27301,MLS Listing,NA,Vacant Land,Orlando,FL,32818,0,NA,Orlando,NA,16493,NA,102,NA,NA,Active,,,MFRMLS,N,Y,28.6,-81.5
27302,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32206,3,1,Herrins S/d,960,NA,1980,12,39,NA,Active,,,NEFLMLS,N,Y,30.3,-81.6
27303,MLS Listing,NA,Single Family Residential,Miami,FL,33196,4,3,Hammocks Gardens,2829,6367,2003,43,166,NA,Active,,,MARMLS,N,Y,25.7,-80.4
27304,MLS Listing,NA,Vacant Land,Orlando,FL,32833,0,NA,Orlando,NA,47045,NA,100,NA,NA,Active,,,MFRMLS,N,Y,28.5,-81.1
27305,MLS Listing,NA,Vacant Land,Orlando,FL,32819,0,NA,Orlando,NA,61627,NA,1114,NA,NA,Active,,,MFRMLS,N,Y,28.5,-81.5
27306,MLS Listing,NA,Condo/Co-op,Atlanta,GA,30342,2,1.5,Round Hill Condos,NA,NA,1966,24,NA,NA,Active,,,GAMLS,N,Y,33.9,-84.4
27307,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,2,2,Brickellhouse,1183,NA,2014,135,549,1083,Active,,,MARMLS,N,Y,25.8,-80.2
27308,MLS Listing,NA,Vacant Land,Jacksonville,FL,32226,NA,NA,Black Hammock Island,NA,NA,NA,3,NA,NA,Active,,,NEFLMLS,N,Y,30.5,-81.5
27309,MLS Listing,NA,Condo/Co-op,Miami,FL,33132,2,2.5,Quantum On The Bay,1084,NA,2008,156,350,829,Active,,,MARMLS,N,Y,25.8,-80.2
27310,MLS Listing,NA,Single Family Residential,Orlando,FL,32839,3,3,Orlando,2782,23935,1969,56,136,NA,Active,,,MFRMLS,N,Y,28.5,-81.4
27311,MLS Listing,NA,Single Family Residential,Staten Island,NY,10309,2,3,Princes Bay,2112,2597,1996,20,272,215,Active,,,SIBORMLS,N,Y,40.5,-74.2
27312,MLS Listing,NA,Single Family Residential,Jamaica,NY,11434,3,2,Jamaica,NA,4500,1950,5,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
27313,MLS Listing,NA,Multi-Family (2-4 Unit),Elmhurst,NY,11373,7,6,Elmhurst,NA,3025,1933,107,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.9
27314,MLS Listing,NA,Townhouse,Baltimore,MD,21206,3,2,Belair Edison,1206,NA,1927,110,103,NA,Active,,,MRIS,N,Y,39.3,-76.6
27315,New Construction Home,NA,Single Family Residential,Rancho Mission Viejo,CA,92694,2,2,Avocet at Esencia,1937,NA,2017,139,366,NA,Active,,,NewHomeSource.com,N,Y,33.5,-117.6
27316,MLS Listing,NA,Single Family Residential,Atlanta,GA,30328,6,4.5,Cameron Glen,3852,31363,1982,79,195,NA,Active,,,GAMLS,N,Y,33.9,-84.4
27317,MLS Listing,NA,Single Family Residential,Brooklyn,NY,11230,1,1,Brooklyn,2762,4000,1910,7,688,NA,Active,,,BNYMLS,N,Y,40.6,-74
27318,MLS Listing,NA,Condo/Co-op,Miami,FL,33129,2,2.5,Atlantis On Brickell,1666,NA,1982,106,375,1273,Active,,,MARMLS,N,Y,25.8,-80.2
27319,MLS Listing,NA,Multi-Family (2-4 Unit),Brooklyn,NY,11219,7,3,Brooklyn,4221,5000,1920,47,770,NA,Active,,,BNYMLS,N,Y,40.6,-74
27320,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32218,3,2,Caney Branch Plantation,1545,NA,2006,90,91,164,Active,,,NEFLMLS,N,Y,30.5,-81.6
27321,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32257,3,2,Tiffany Oaks,1914,NA,1998,14,146,22,Active,,,NEFLMLS,N,Y,30.2,-81.6
27322,MLS Listing,NA,Single Family Residential,Orlando,FL,32832,4,2,Orlando,2526,7199,2004,76,138,93,Active,,,MFRMLS,N,Y,28.4,-81.2
27323,MLS Listing,NA,Single Family Residential,Laguna Beach,CA,92651,2,1,SL - South Laguna,1304,2614,1929,19,1073,NA,Active,,,CRMLS,N,Y,33.5,-117.7
27324,MLS Listing,NA,Single Family Residential,Durham,NC,27707,5,5,Marydell Estates,4017,19994,1991,1,156,NA,Active,March-11-2018 02:00 PM,March-11-2018 04:00 PM,TMLS,N,Y,35.9,-79
27325,MLS Listing,NA,Multi-Family (2-4 Unit),Brooklyn,NY,11219,NA,3,Brooklyn,2940,2000,NA,35,503,NA,Active,,,BNYMLS,N,Y,40.6,-74
27326,MLS Listing,NA,Condo/Co-op,Flushing,NY,11354,1,1,Sky View Grand,756,NA,2017,100,1138,617,Active,,,MLSLI,N,Y,40.8,-73.8
27327,MLS Listing,NA,Condo/Co-op,San Clemente,CA,92673,3,2.5,MH - Marblehead,1910,NA,1987,15,444,252,Active,March-10-2018 01:00 PM,March-10-2018 04:00 PM,CRMLS,N,Y,33.4,-117.6
27328,MLS Listing,NA,Multi-Family (2-4 Unit),Brooklyn,NY,11218,6,2,Brooklyn,3120,2000,NA,111,641,NA,Active,,,BNYMLS,N,Y,40.6,-74
27329,MLS Listing,NA,Multi-Family (2-4 Unit),Brooklyn,NY,11214,13,6,Brooklyn,6678,3867,2009,92,284,NA,Active,,,BNYMLS,N,Y,40.6,-74
27330,MLS Listing,NA,Single Family Residential,Atlanta,GA,30315-2747,4,3,Historic South Atlanta,1932,7492,2006,119,163,NA,Active,,,GAMLS,N,Y,33.7,-84.4
27331,MLS Listing,NA,Condo/Co-op,Laguna Beach,CA,92651,1,1,LV - Laguna Village,625,NA,1970,295,1184,300,Active,,,CRMLS,N,Y,33.5,-117.8
27332,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32210,3,2,Pirates Bay,1476,NA,1984,94,162,NA,Active,,,NEFLMLS,N,Y,30.3,-81.7
27333,MLS Listing,NA,Single Family Residential,Bronx,NY,10471,6,3,Riverdale,2396,9848,1950,23,374,NA,Active,,,HGMLS,N,Y,40.9,-73.9
27334,MLS Listing,NA,Single Family Residential,Orlando,FL,32836,3,3,Orlando,2162,6759,2017,93,254,309,Active,,,MFRMLS,N,Y,28.4,-81.5
27335,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,2,2,500 Brickell,1124,NA,2008,86,418,875,Active,,,MARMLS,N,Y,25.8,-80.2
27336,MLS Listing,NA,Townhouse,Baltimore,MD,21211,2,2.5,Remington,1368,NA,1920,4,194,NA,Active,,,MRIS,N,Y,39.3,-76.6
27337,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32205,2,1.5,Murray Hill Heights,1056,NA,1924,78,99,NA,Active,,,NEFLMLS,N,Y,30.3,-81.7
27338,MLS Listing,NA,Condo/Co-op,Long Island City,NY,11101,1,1,Queensboro Tower,NA,NA,2018,5,NA,354,Active,,,MLSLI,N,Y,40.8,-73.9
27339,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,4,4,Icon Bay Condo,2264,NA,2015,91,795,1692,Active,,,MARMLS,N,Y,25.8,-80.2
27340,MLS Listing,NA,Townhouse,Jamaica,NY,11434,3,1,Jamaica,NA,2200,1945,37,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
27341,MLS Listing,NA,Single Family Residential,Raleigh,NC,27601,4,4,Wake,2567,12196,2018,28,232,NA,Active,,,TMLS,N,Y,35.8,-78.6
27342,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,1,2,Biscayne Beach Condo,NA,NA,2017,147,NA,NA,Active,,,MARMLS,N,Y,25.8,-80.2
27343,MLS Listing,NA,Condo/Co-op,Yorba Linda,CA,92886,3,3.5,85 - Yorba Linda,3457,NA,2011,26,344,446,Active,,,CRMLS,N,Y,33.9,-117.8
27344,MLS Listing,NA,Condo/Co-op,Manhattan,NY,10075,1,1,Manhattan,500,NA,1910,37,798,NA,Active,March-11-2018 12:00 PM,March-11-2018 02:00 PM,BNYMLS,N,Y,40.8,-74
27345,MLS Listing,NA,Townhouse,Baltimore,MD,21217,3,1,Baltimore City,NA,NA,1900,135,NA,NA,Active,,,MRIS,N,Y,39.3,-76.6
27346,MLS Listing,NA,Single Family Residential,Jamacia,NY,11436,3,3,Jamacia,1634,2542,1925,124,318,NA,Active,,,BNYMLS,N,Y,40.7,-73.8
27347,MLS Listing,NA,Multi-Family (2-4 Unit),Brooklyn,NY,11234,7,3.5,Brooklyn,NA,2000,1960,49,NA,NA,Active,,,MLSLI,N,Y,40.6,-73.9
27348,MLS Listing,NA,Condo/Co-op,Pinecrest,FL,33156,1,1.5,Palms Of Pinecrest,725,NA,1967,19,261,282,Active,,,MARMLS,N,Y,25.7,-80.3
27349,MLS Listing,NA,Townhouse,Baltimore,MD,21206,3,1.5,Baltimore City,1024,3920,1956,8,137,NA,Active,,,MRIS,N,Y,39.3,-76.5
27350,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32226,3,1,Half Moon Island,1641,NA,1942,475,289,NA,Active,,,NEFLMLS,N,Y,30.6,-81.6
27351,MLS Listing,NA,Condo/Co-op,Kew Gardens,NY,11415,1,1,Talbot Apts,NA,NA,1933,67,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
27352,New Construction Home,NA,Single Family Residential,Orlando,FL,32824,4,3,Somerset Park,2317,NA,2017,85,162,NA,Active,,,NewHomeSource.com,N,Y,28.4,-81.3
27353,MLS Listing,NA,Multi-Family (2-4 Unit),Miami,FL,33127,0,NA,Buena Vista Gardens,1500,NA,1966,22,180,NA,Active,,,MARMLS,N,Y,25.8,-80.2
27354,MLS Listing,NA,Single Family Residential,Atlanta,GA,30327,3,3.5,Margaret Mitchell,NA,23383,1963,9,NA,NA,Active,,,FMLS,N,Y,33.8,-84.4
27355,For-Sale-by-Owner Listing,NA,Condo/Co-op,Atlanta,GA,30318,2,2.5,Atlanta,1216,NA,1986,7,196,NA,Active,,,ForSaleByOwner.com,N,Y,33.8,-84.4
27356,MLS Listing,NA,Single Family Residential,Brea,CA,92821,3,2.5,86 - Brea,1950,9975,1960,92,400,NA,Active,,,CRMLS,N,Y,33.9,-117.9
27357,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32208,3,2,Lake Forest,1722,NA,2007,68,131,NA,Active,,,NEFLMLS,N,Y,30.4,-81.7
27358,MLS Listing,NA,Townhouse,Irvine,CA,92612,4,2.5,UP - University Park,2346,3680,1965,12,404,192,Active,,,CRMLS,N,Y,33.7,-117.8
27359,MLS Listing,NA,Vacant Land,Atlantic Beach,FL,32233,NA,NA,Metes & Bounds,NA,NA,NA,1245,NA,700,Active,,,NEFLMLS,N,Y,30.3,-81.4
27360,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32277,4,2,Fairways Forest,2211,NA,1974,153,113,NA,Active,,,NEFLMLS,N,Y,30.4,-81.6
27361,MLS Listing,NA,Single Family Residential,Wake Forest,NC,27587,4,4,Wake,2935,7405,2018,6,146,90,Active,,,TMLS,N,Y,35.8,-78.7
27362,MLS Listing,NA,Townhouse,Baltimore,MD,21218,3,2,Barclay,2208,1045,1920,251,156,NA,Active,,,MRIS,N,Y,39.3,-76.6
27363,MLS Listing,NA,Condo/Co-op,Miami,FL,33193,1,2,The Fountains Ii Condo,800,NA,1986,7,175,210,Active,,,MARMLS,N,Y,25.7,-80.4
27364,MLS Listing,NA,Condo/Co-op,New York,NY,10029,4,2.5,Upper East Side,NA,NA,NA,1,NA,NA,Active,,,REBNY,N,Y,40.8,-74
27365,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,1,1,Icon Brickell,732,NA,2009,576,545,201,Active,,,MARMLS,N,Y,25.8,-80.2
27366,MLS Listing,NA,Single Family Residential,Jamaica,NY,11432,4,2.5,Jamaica,NA,1975,1920,85,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
27367,MLS Listing,NA,Multi-Family (2-4 Unit),Bronx,NY,10466,8,6,Bronx,4450,5118,2007,7,185,NA,Active,,,HGMLS,N,Y,40.9,-73.8
27368,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32234,5,5,Diamond Ranch Estates,4920,NA,2007,356,202,25,Active,,,NEFLMLS,N,Y,30.2,-81.9
27369,New Construction Plan,NA,Single Family Residential,Jacksonville,FL,32216,4,2.5,The Woodlands,3100,NA,NA,NA,93,NA,Active,,,NewHomeSource.com,N,Y,30.3,-81.6
27370,MLS Listing,NA,Townhouse,Raleigh,NC,27601,3,4,Thompson Hunter,2000,1742,2017,198,400,375,Active,,,TMLS,N,Y,35.8,-78.6
27371,MLS Listing,NA,Condo/Co-op,Miami,FL,33130,1,2.5,Brickell Heights West T.,NA,NA,2017,20,NA,650,Active,,,MARMLS,N,Y,25.8,-80.2
27372,MLS Listing,NA,Single Family Residential,Miami,FL,33186,4,3.5,Calusa Corners,1957,8958,1979,20,232,NA,Active,,,MARMLS,N,Y,25.7,-80.4
27373,MLS Listing,NA,Single Family Residential,Orlando,FL,32806,4,3.5,Orlando,3972,51430,1930,97,566,NA,Active,,,MFRMLS,N,Y,28.5,-81.4
27374,MLS Listing,NA,Vacant Land,Miami,FL,33138,NA,NA,Nbayshore Esates,NA,NA,NA,92,NA,NA,Active,,,MARMLS,N,Y,25.9,-80.2
27375,MLS Listing,NA,Single Family Residential,Raleigh,NC,27614,5,5,Wake,4590,60984,2017,1,212,200,Active,,,TMLS,N,Y,36,-78.7
27376,MLS Listing,NA,Single Family Residential,Durham,NC,27707,4,3,Weston Downs,3260,8276,2009,47,144,55,Active,,,TMLS,N,Y,35.9,-79
27377,New Construction Plan,NA,Single Family Residential,Cary,NC,27519,4,3.5,Amberly,3536,NA,NA,NA,167,NA,Active,,,NewHomeSource.com,N,Y,35.8,-78.9
27378,MLS Listing,NA,Single Family Residential,Laguna Beach,CA,92651,6,5.5,SL - South Laguna,5861,20000,1986,170,1193,253,Active,,,CRMLS,N,Y,33.5,-117.7
27379,MLS Listing,NA,Multi-Family (2-4 Unit),Jamaica,NY,11435,8,5,Jamaica,NA,2500,1920,42,NA,NA,Active,,,MLSLI,N,Y,40.7,-73.8
27380,MLS Listing,NA,Single Family Residential,Staten Island,NY,10308,4,2,Great Kills,1480,9072,1920,49,431,NA,Active,,,SIBORMLS,N,Y,40.6,-74.1
27381,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32277,4,2.5,University Park,2340,NA,1968,52,102,NA,Active,March-10-2018 01:30 PM,March-10-2018 03:30 PM,NEFLMLS,N,Y,30.4,-81.6
27382,MLS Listing,NA,Condo/Co-op,Miami,FL,33132,2,2,Vizcayne- Everglades,940,NA,2008,233,372,672,Active,,,MARMLS,N,Y,25.8,-80.2
27383,MLS Listing,NA,Single Family Residential,Coconut Grove,FL,33133,3,2,Utopia Sub,2312,6050,1942,81,387,NA,Active,,,MARMLS,N,Y,25.7,-80.3
27384,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32208,3,1.5,Osceola Forest,1336,NA,1972,310,56,NA,Active,,,NEFLMLS,N,Y,30.4,-81.7
27385,MLS Listing,NA,Condo/Co-op,New York,NY,10002,1,1,Lower East Side,NA,NA,NA,6,NA,NA,Active,,,REBNY,N,Y,40.7,-74
27386,MLS Listing,NA,Townhouse,Miami,FL,33172,4,3,Las Ramblas,1652,NA,2008,8,200,247,Active,,,MARMLS,N,Y,25.8,-80.4
27387,MLS Listing,NA,Single Family Residential,Miami,FL,33176,4,2,Richmond Heights,1237,7800,1974,29,214,NA,Active,,,MARMLS,N,Y,25.6,-80.4
27388,MLS Listing,NA,Condo/Co-op,Miami,FL,33132,1,1.5,Vizcayne Condo North,978,NA,2008,625,378,660,Active,,,MARMLS,N,Y,25.8,-80.2
27389,MLS Listing,NA,Single Family Residential,Richmond,VA,23234,3,2.5,Mason Woods,1508,11630,1988,56,126,NA,Active,NA,NA,CVRMLS,N,Y,37.4,-77.5
27390,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32210,3,2,Country Club Estates,1544,NA,1947,14,226,NA,Active,,,NEFLMLS,N,Y,30.3,-81.7
27391,MLS Listing,NA,Condo/Co-op,Miami,FL,33181,2,2,Jockey Club,1358,NA,1968,273,177,965,Active,,,MARMLS,N,Y,25.9,-80.2
27392,New Construction Plan,NA,Single Family Residential,Raleigh,NC,27616,4,3,5401 North,3026,NA,NA,NA,140,NA,Active,,,NewHomeSource.com,N,Y,35.9,-78.5
27393,MLS Listing,NA,Single Family Residential,Chapel Hill,NC,27516,3,2,Briar Chapel,2580,6621,2017,258,172,125,Active,March-10-2018 12:00 PM,March-10-2018 04:00 PM,TMLS,N,Y,35.8,-79.1
27394,MLS Listing,NA,Townhouse,Orlando,FL,32819,4,2.5,Orlando,2232,3605,2006,7,146,318,Active,,,MFRMLS,N,Y,28.5,-81.5
27395,MLS Listing,NA,Single Family Residential,Irvine,CA,92620,5,3.5,NW - Northwood,3251,5754,1999,35,508,162,Active,March-11-2018 01:00 PM,March-11-2018 04:00 PM,CRMLS,N,Y,33.7,-117.7
27396,MLS Listing,NA,Single Family Residential,Atlanta,GA,30319-1008,5,6,Brookhaven,5404,44256,2018,33,509,NA,Active,,,GAMLS,N,Y,33.9,-84.4
27397,MLS Listing,NA,Condo/Co-op,Baltimore,MD,21210,3,2.5,Harper House,2100,NA,1978,197,219,1115,Active,,,MRIS,N,Y,39.4,-76.6
27398,MLS Listing,NA,Condo/Co-op,E. Elmhurst,NY,11369,1,1,Northridge   1,NA,NA,1951,9,NA,NA,Active,,,MLSLI,N,Y,40.8,-73.9
27399,MLS Listing,NA,Single Family Residential,Yorba Linda,CA,92887,3,2,85 - Yorba Linda,1956,11250,1983,21,447,NA,Active,,,CRMLS,N,Y,33.9,-117.8
